"AnimalID","Timestamp","X","Y","Z","ODBA"
"154",2025-06-05 01:41:25.96,0.96875,0.07031,-0.02344,0.0153106000000476
"154",2025-06-05 01:41:27.96,0.96094,0.0625,-0.02344,0.0170938000000479
"154",2025-06-05 01:41:29.96,0.96875,0.0625,-0.03125,0.0164030000000023
"154",2025-06-05 01:41:31.96,0.96094,0.07031,-0.03906,0.0101495999999635
"154",2025-06-05 01:41:33.96,0.96094,0.0625,-0.03906,0.0221794000000025
"154",2025-06-05 01:41:35.96,0.95313,0.07813,-0.03125,0.0146887999999524
"154",2025-06-05 01:41:37.96,0.96094,0.0625,-0.03125,0.015311400000002
"154",2025-06-05 01:41:39.96,0.96094,0.07031,-0.01563,0.0186486000000478
"154",2025-06-05 01:41:41.96,0.96094,0.07813,-0.01563,0.0203132000000088
"154",2025-06-05 01:41:43.96,0.95313,0.07031,-0.04688,0.0251609999999913
"154",2025-06-05 01:41:45.96,0.96094,0.0625,-0.01563,0.0274272000000479
"154",2025-06-05 01:41:47.96,0.96875,0.07031,-0.03906,0.0159303999999634
"154",2025-06-05 01:41:49.96,0.96094,0.07813,-0.02344,0.0157844000000087
"154",2025-06-05 01:41:51.96,0.96875,0.07031,-0.03125,0.0153122000000025
"154",2025-06-05 01:41:53.96,0.95313,0.07031,-0.03906,0.0178095999999914
"154",2025-06-05 01:41:55.96,0.96094,0.07031,-0.03906,0.00939979999996375
"154",2025-06-05 01:41:57.96,0.96875,0.07031,-0.01563,0.0237454000000474
"154",2025-06-05 01:41:59.96,0.96094,0.0625,-0.00781,0.0293796000000476
"154",2025-06-05 01:42:01.96,0.95313,0.07031,-0.03125,0.00964839999999108
"154",2025-06-05 01:42:03.96,0.95313,0.07031,-0.01563,0.0192103999999979
"154",2025-06-05 01:42:05.96,0.96094,0.07031,-0.03125,0.00281360000000227
"154",2025-06-05 01:42:07.96,0.96094,0.07031,-0.02344,0.00548900000004756
"154",2025-06-05 01:42:09.96,0.96094,0.0625,-0.02344,0.0117178000000474
"154",2025-06-05 01:42:11.96,0.96094,0.07813,-0.03906,0.0165641999999635
"154",2025-06-05 01:42:13.96,0.95313,0.0625,-0.02344,0.0174518000000365
