"X","Temp","DateTime"
63,21.187,2025-03-17 03:07:45
64,21.091,2025-03-17 04:07:45
65,21.091,2025-03-17 05:07:45
66,21.187,2025-03-17 06:07:45
67,21.282,2025-03-17 07:07:45
68,20.329,2025-03-17 08:07:45
69,17.094,2025-03-17 09:07:45
70,12.883,2025-03-17 10:07:45
71,13.076,2025-03-17 11:07:45
72,16.237,2025-03-17 12:07:45
73,21.569,2025-03-17 13:07:45
74,22.238,2025-03-17 14:07:45
75,NA,2025-03-17 14:32:04
76,NA,2025-03-17 14:32:05
77,21.855,2025-03-17 15:07:45
78,22.333,2025-03-17 16:07:45
79,17.76,2025-03-17 17:07:45
80,17.284,2025-03-17 18:07:45
81,17.284,2025-03-17 19:07:45
82,17.284,2025-03-17 20:07:45
83,17.094,2025-03-17 21:07:45
84,16.903,2025-03-17 22:07:45
85,16.713,2025-03-17 23:07:45
86,16.332,2025-03-18 00:07:45
87,16.237,2025-03-18 01:07:45
88,16.141,2025-03-18 02:07:45
89,16.046,2025-03-18 03:07:45
90,15.951,2025-03-18 04:07:45
91,15.855,2025-03-18 05:07:45
92,15.76,2025-03-18 06:07:45
93,15.855,2025-03-18 07:07:45
94,16.237,2025-03-18 08:07:45
95,15.951,2025-03-18 09:07:45
96,15.378,2025-03-18 10:07:45
97,2.195,2025-03-18 11:07:45
98,2.517,2025-03-18 12:07:45
99,2.624,2025-03-18 13:07:45
100,3.998,2025-03-18 14:07:45
101,3.367,2025-03-18 15:07:45
102,3.578,2025-03-18 16:07:45
103,3.788,2025-03-18 17:07:45
104,3.893,2025-03-18 18:07:45
105,3.788,2025-03-18 19:07:45
106,3.788,2025-03-18 20:07:45
107,3.683,2025-03-18 21:07:45
108,3.683,2025-03-18 22:07:45
109,3.683,2025-03-18 23:07:45
110,3.578,2025-03-19 00:07:45
111,3.472,2025-03-19 01:07:45
112,3.367,2025-03-19 02:07:45
113,3.261,2025-03-19 03:07:45
114,3.155,2025-03-19 04:07:45
115,3.049,2025-03-19 05:07:45
116,2.837,2025-03-19 06:07:45
117,2.837,2025-03-19 07:07:45
118,2.837,2025-03-19 08:07:45
119,2.837,2025-03-19 09:07:45
120,3.155,2025-03-19 10:07:45
121,3.367,2025-03-19 11:07:45
122,3.998,2025-03-19 12:07:45
123,3.893,2025-03-19 13:07:45
124,4.623,2025-03-19 14:07:45
125,4.519,2025-03-19 15:07:45
126,4.727,2025-03-19 16:07:45
127,4.934,2025-03-19 17:07:45
128,4.934,2025-03-19 18:07:45
129,4.831,2025-03-19 19:07:45
130,4.623,2025-03-19 20:07:45
131,4.519,2025-03-19 21:07:45
132,4.415,2025-03-19 22:07:45
133,4.311,2025-03-19 23:07:45
134,4.207,2025-03-20 00:07:45
135,4.102,2025-03-20 01:07:45
136,3.998,2025-03-20 02:07:45
137,3.788,2025-03-20 03:07:45
138,3.578,2025-03-20 04:07:45
139,3.472,2025-03-20 05:07:45
140,3.261,2025-03-20 06:07:45
